0,1
House of Gucci,"['Lady Gaga', 'Adam Driver', 'Al Pacino', 'Jeremy Irons', 'Jared Leto', 'Jack Huston', 'Salma Hayek', 'Alexia Murray', 'Vincent Riotta', 'Gaetano Bruno', 'Camille Cottin', 'Youssef Kerkour', 'Reeve Carney', 'Florence Andrews', 'Mehdi Nebbou', 'Miloud Mourad Benamara', 'Andrea Piedimonte Bodini', 'Vincenzo Tanassi', 'Mauro Lamantia', 'Nicole Bani Sarkute', 'Mia McGovern Zaini', 'Clelia Rossi Marcelli', 'Pietro Ragusa', 'Alessandro Pess', 'Alex Mariotti', 'Monica Nappo', 'Alessandro Piavani', 'Marina Occhionero', 'Pierpaolo Palladino', 'Jun Ichikawa', 'Daphne Morelli', 'Mãdãlina Ghenea', 'Gjergji Lala', 'Alessandra Borgia', 'Havana Alfarano', 'Philippe Boa', 'Ira Fronten', 'Marika De Chiara', 'Antonello Annunziata', 'Edouard Philipponnat', 'Nicola Garofalo', 'Daniele De Martino', 'Beatrice Pelliccia', 'Beppe Rosso', 'Jay Natelle', 'Johanna Santos', 'Larry Kapust', 'Livio Beshir', 'Pietro Pace', 'Bianca Nappi', 'Paolo De Giorgio', 'Mario Opinato', 'Gianpiero Pumo', 'Stefano Moretti', 'Catherine Walker', 'Martino Palmisano', 'Eva Moore', 'Filippo De Carli', 'Marco Sincini', 'Daniele Monterosi', 'Daniela Macaluso', 'Alfredo Pea', 'Dirk Plöenissen', 'Mimmo Mancini', 'Eric Alexander', 'Beniamino Marcone', 'Simone Spinazze', 'Fausto Caroli', 'Bruce McGuire', 'Loris Loddi', 'Luca Chikovani', 'Alessandro Egger', 'Roger Garth', 'Dante Alba', 'Andrea Bruschi']"
The Power of the Dog,"['Benedict Cumberbatch', 'Geneviève Lemon', 'Jesse Plemons', 'Kodi Smit-McPhee', 'Kenneth Radley', 'Kirsten Dunst', 'Sean Keenan', 'George Mason', 'Ramontay McConnell', 'David Denis', 'Cohen Holloway', 'Max Mata', 'Josh Owen', 'Alistair Sewell', 'Eddie Campbell', 'Alice Englert', 'Bryony Skillington', 'Jacque Drew', 'Yvette Parsons', 'Aislinn Furlong', 'Daniel Cleary', 'Richard Falkner', 'Tatum Warren-Ngata', 'Yvette Reid', 'Alice May Connolly', 'Stephen Lovatt', 'Stephen Bain', 'Ella Hope-Higginson', 'Piimio Mei', 'Edith Poor', 'Vadim Ledogorov', 'Thomasin McKenzie', 'Julie Forsyth', 'Peter Carroll', 'Frances Conroy', 'Alison Bruce', 'Keith Carradine', 'Karl Willetts', 'David T. Lim', 'Adam Beach', 'Maeson Stone Skuggedal', 'Ian Harcourt', 'Catherine Manchester']"
Spider-Man: No Way Home,"['Zendaya', 'Benedict Cumberbatch', 'Tom Holland', 'Marisa Tomei', 'Jon Favreau', 'J.K. Simmons', 'Angourie Rice', 'Willem Dafoe', 'Alfred Molina', 'Jacob Batalon', 'Jamie Foxx', 'Paula Newsome', 'Benedict Wong', 'Martin Starr', 'Harry Holland', 'J.B. Smoove', 'Tony Revolori', 'Jorge Lendeborg Jr.', 'Hannibal Buress', 'Gloria Bishop', 'Glenn Keogh', 'Paris Benjamin', 'Tarek al Halabi', 'Christopher Cocke', 'Chad J. Wagner', 'Jordan Foster', 'Robert Mitchel Owenby', 'Jana N Prentiss', 'Wes Jetton', 'Lucia Scarano', 'Luke Aitchison', 'McDaniel Austin', 'Bernard Bradley Jr.', 'Kyle Bryde', 'Tommy Campbell', 'Riley Cliett', 'José Alfredo Fernandez', 'Elizabeth Harlow', 'Jay Karales', 'Clinton M Nowicke', 'Cailyn Peddle', 'Emanuel Perez', 'Johnny Serret', 'Bryan SilverBax', 'Art Sunday', 'Juan Szilagyi', 'Robert Tinsley', 'Charlemagne Vida', 'Marvin E. West', 'Russ Williamson']"
The Last Duel,"['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Harriet Walter', 'Ben Affleck', 'Alex Lawther', 'Marton Csokas', 'William Houston', 'Oliver Cotton', 'Aurélien Lorgnier', 'Nathaniel Parker', 'Tallulah Haddon', 'Bryony Hannah', 'Thomas Silberstein', 'Adam Goodwin', 'Ian Pirie', 'Daniel Horn', 'Michael McElhatton', 'Sam Hazeldine', 'Clive Russell', 'Julian Firth', 'Sylvain Lablée', 'Zoé Bruneau', 'Chloé Lindau', 'Adam Nagaitis', 'Elise Caprice', 'Fiona Maherault Valinski', 'Tassia Martin', 'Camille Mutin', ""Caoimhe O'Malley"", 'John Kavanagh', 'Zeljko Ivanek', 'Simone Collins', 'Clare Dunne', 'Christian Erickson', 'Alex Blanchard', 'Gin Minelli', 'Cecilia Steiner', 'Serena Kennedy', 'Quentin Ogier', 'Paul Bandey', 'Martin Vaughan Lewis', 'Brontis Jodorowsky', 'Peter Hudson', 'Alexander Pattie', 'Dimitri Michelsen', 'Stephen Brennan', 'Colin David Reese', 'Bosco Hogan', 'Kyle Hixon', 'Florian Hutter', 'Sam Chemoul', 'Jim Roche', 'Martin Gogarty', 'Ronan Leonard', 'Shane Lynch', 'Peter Kirkby', 'Kevin McGahern', 'Lorris Chevalier', 'Mark Atkin', 'Corinne Delacour', 'Kyle English', 'Chloe Harris', 'Karl Hogan', 'Tyrone Kearns', 'Brian Manning', 'Brian F. Mulvey', 'Jérome Verney', 'Gabriel Youngs']"
Ghostbusters: Afterlife,"['Carrie Coon', 'Paul Rudd', 'Finn Wolfhard', 'Mckenna Grace', 'Logan Kim', ""Celeste O'Connor"", 'Bill Murray', 'Dan Aykroyd', 'Ernie Hudson', 'Annie Potts', 'Sigourney Weaver', 'Bob Gunton', 'J.K. Simmons', 'Shawn Seward', 'Billy Bryk', 'Sydney Mae Diaz', 'Hannah Duke', 'Bokeem Woodbine', 'Paulina Alexis', 'Marlon Kazadi', 'Chiara Petersen', 'Danielle Kennedy', 'Artoun Nazareth', 'Crystal Roseborough', 'Dusan Rokvic', 'Emma Portner', 'Stella Aykroyd', 'Kim Faires', 'Josh Gad', 'Shohreh Aghdashloo', 'Oliver Cooper', 'Bud Klasky', 'Tracy Letts', 'Faith Louissaint', 'Sarah Natochenny', ""Daniel D'Angelo Sparks"", 'Olivia Wilde', 'Shelby Young']"
Dune,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Zendaya', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel', 'Roger Yuan', 'Seun Shote', 'Neil Bell', 'Oliver Ryan', 'Stephen Collins', 'Charlie Rawes', 'Richard Carter', 'Ben Dilloway', 'Elmi Rashid Elmi', 'Tachia Newall', 'Gloria Obianyo', 'Fehinti Balogun', 'Dora Kápolnai-Schvab', 'Joelle', 'Jimmy Walker', 'Paul Bullion', 'Milena Sidorova', 'János Timkó', 'Jean Gilpin', 'Marianne Faithfull', 'Ellen Dubin', 'Károly Baksai', 'Björn Freiberg', 'Balázs Megyeri', 'Michael Nardone', 'Duncan Pow', 'Ferenc Iván Szabó', 'Laszlo Szilagyi', 'Peter Sztojanov Jr.', 'István Áldott']"
Encanto,"['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Mauro Castillo', 'Jessica Darrow', 'Angie Cepeda', 'Carolina Gaitan', 'Diane Guerrero', 'Wilmer Valderrama', 'Rhenzy Feliz', 'Ravi Cabot-Conyers', 'Adassa', 'Maluma', 'Rose Portillo', 'Noemi Josefina Flores', 'Juan Castano', 'Sarah-Nicole Robles', 'Hector Elias', 'Alan Tudyk', 'Olga Merediz', 'Jorge E. Ruiz Cano', 'Alyssa Bella Candian', 'Paisley Herrera', 'Brooklyn Skylar Rodriguez', 'Ezra Rudulph']"
Red Notice,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos', 'Ivan Mbakop', 'Vincenzo Amato', 'Rafael Petardi', 'Seth Michaels', 'Sebastien Large', 'Guy Nardulli', 'Andrew Hunter', 'George Tsai', 'Rawson Marshall Thurber', 'Robert Mata', 'Anthony Belevtsov', 'Daniel Bernhardt', 'Yosef Podolski', 'Martin Harris', 'Alexander Perkins', 'Joseph Garcia', 'Nathan Theis', 'Gonzalo Escudero', 'Jay Romero', 'Ethan Herschenfeld', 'Brenna Marie Narayan', 'Tom Choi', 'Nick Arapoglou', 'Robert Clotworthy', 'James William Ballard', 'Shane Berengue', 'Bobby Blish', 'Levi Bowling', 'Jameson Burnett', 'Max Calder', 'Zach Catanzareti', 'Christopher Cocke', 'Nathan W. Collins', 'Clay Comer', 'Evan A. Dunn', ""Dwayne 'Showtim3' Dyke Jr."", 'Hugh Entrekin', 'Erwin Felicilda', 'Noah Bain Garret', 'Jay Gutierrez', 'Stephanie Hill', 'Alice Hong', 'Russel Hulsey', 'Daryl Keith Johnson', 'Jeramie Julian', 'Melissa Kennemore', 'Jamil Khan', 'Elbert Kim', 'Travis L. King Jr.', 'Sage Lawrence', 'Zak Lee', 'Bradford Norris', 'Brandon Parker', 'Scott Rapp', 'Kailie Sanders', 'Keily Sandoval', 'Kevin Scarlett', 'Ed Sheeran', 'Ray Siegle', 'D.J. Stavropoulos', 'John Strong', 'Art Sunday', 'Robert Tinsley', 'Alicia Ugarte', 'Ronald Joe Vasquez', 'Charlemagne Vida', 'Victoria Paige Watkins', 'MWW Michael Wilkerson']"
"tick, tick...BOOM!","['Andrew Garfield', 'Alexandra Shipp', 'Robin de Jesus', 'Vanessa Hudgens', 'Joshua Henry', 'Jonathan Marc Sherman', 'Michaela Jaé  Rodriguez', 'Ben Ross', 'Judith Light', 'Bradley Whitford', 'Laura Benanti', 'Danielle Ferland', 'Micaela Diamond', 'Utkarsh Ambudkar', 'Gizel Jimenez', 'Kate Rockwell', 'Aneesa Folds', 'Joel Perez', 'Anna A. Louizos', 'Robyn Goodman', 'Judy Kuhn', 'Danny Burstein', 'Lauren Marcus', 'Richard Kind', 'Tariq Trotter', 'Janet Dacal', 'Kenita Miller', 'Eddy Lee', 'Jared Loftin', 'Kurt Crowley', 'Ryan Vasquez', 'Joanna Adler', 'Sheila Tapia', 'Ricardo Zayas', 'Travis Patton', 'Chris Jackson', 'Jelani Alladin', 'Andrew Bancroft', 'Chris Sullivan', 'Luis A. Miranda Jr.', 'Kelly Watson', 'Emily Juean Stillings', 'Jennifer Laroche', 'Lauren Yalango-Grant', 'Ayo Janeen Jackson', 'Lucy Struever', 'Stephanie Crousillat', 'Gaby Diaz', 'Ilia Jessica Castro', 'Marie Rose Baramo', 'Keisha Hughes', 'Lane Napper', 'Kyle Mcintire', 'Sean Ryan', 'Purdie Baumann', 'Paula Ayotte', 'Christopher Ryan Grant', 'Austin Goodwin', 'Carlos Gonzalez', 'Elizabeth Chestang', 'Callan Bergmann', 'Kyle Richard Robinson', 'Erin N. Moore', 'Taeler Cyrus', 'Spencer Clark', 'Ehizoje Azeke', 'Chloe N. Crade', 'Maira Barriga Toyama', 'Christine Sienicki', 'Erin Monteleone', 'Sean Mcdaniel', 'Victoria Theodore', 'Bryndon Cook', 'Debbie Tjong', 'Charles Conforti', 'Derrick Delgado', 'Mason Versaw', 'Javiel Sellas', 'Barbara Ames', 'Noah Lentini', 'Jacob Patrick Wasson', 'Adriel Flete', 'Dwany Guzman', 'Victoria Caban', 'Melody Rose', 'Alexia Belrose', 'James C. Nicola', 'Roger Bart', 'Chad Beguelin', 'Nick Blaemire', 'Eli Bolin', 'Jason Robert Brown', 'Eisa Davis', 'Amanda Green', 'Quiara Alegría Hudes', 'Joe Iconis', 'Tom Kitt', 'Alex Lacamoire', 'Steven Levenson', 'Jaime Lozano', 'Dave Malloy', 'Matthew McCollum', 'Grace McLean', 'Helen Park', 'Stephen Schwartz', 'Marc Shaiman', 'Matthew Sklar', 'Georgia Stitt', 'Shaina Taub', 'Jeanine Tesori', 'Stephen Trask', 'Chuck Cooper', 'André De Shields', 'Renée Elise Goldsberry', 'Joel Grey', 'Wilson Jermaine Heredia', 'Beth Malone', 'Howard McGillin', 'Brian Stokes Mitchell', 'Bebe Neuwirth', 'Adam Pascal', 'Bernadette Peters', 'Phylicia Rashad', 'Chita Rivera', 'Daphne Rubin-Vega', 'Phillipa Soo', 'Jennifer Alexander', 'Adrienne Brammer', 'Ken Holmes', 'Alex D. Jennings', 'Bob Leszczak', 'Noah Robbins', 'Mahkah Wright']"
The Matrix Resurrections,"['Keanu Reeves', 'Christina Ricci', 'Jessica Henwick', 'Carrie-Anne Moss', 'Priyanka Chopra Jonas', 'Jonathan Groff', 'Yahya Abdul-Mateen II', 'Neil Patrick Harris', 'Ellen Hollman', 'Jada Pinkett Smith', 'Daniel Bernhardt', 'Lambert Wilson', 'Eréndira Ibarra', 'Max Riemelt', 'Brian J. Smith', 'Telma Hopkins', 'Andrew Lewis Caldwell', 'Ian Pirie', 'Chris Reid', 'Toby Onwumere', 'William W. Barbour', 'Kenny Beers', 'Cabran E. Chamberlain', 'Thomas Dalby', 'John Denton', 'Erwin Felicilda', 'Michael J. Gwynn', 'Linda Joy Henry', 'Andrew Koponen', 'John Lobato', 'Joseph McGinley', 'Ed Moy', 'Christian Harris Neeman', 'Anne-Marie Olsen', 'Lindsay Peak', 'Mel Powell', 'Elizabeth Swaney', 'Steve Tanabe', 'Rachel Thurow', 'Etienne Vick', 'Clayton Watson', 'James D. Weston II']"
